File,,Time,UTC,9/26/22,16:57:10,,
SW,,iID®DataCaptureSoftware,,,,,
SW,,v01.09,,,,,
SW,,4/7/20,,arrive 1-2,,,
SW,,9/26/22,16:54:06,depart 2-1,,,
Lib,,v1.6.3,,,,,
Company,,GmbH,,,,,
OS,,v10.0.17763.865,,,,,
,,,,,,,
,,,,,,,
Settings,,,,,,,
,,mode,DOC,,,,
,,,,,,,
,,YES,,,,,
,,5,,,,,
,,,,,,,
Found,,,,,,,
,,ReaderID,HW-Info,FW-Info,Num-Antennas,,
,,25SQCMICSCB030EB4,,,,,
,,200330,D0.22,98.26.06,2,,
,,200328,D0.22,98.26.06,2,,
,,,,,,,
,,,,,,,
Timestamp,,HexAddress,ReaderID,UID,Collection,DataType,
9/26/22,12:32:44,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,12:32:44
9/26/22,12:45:31,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,12:45:31
9/26/22,12:45:31,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,12:45:31
9/26/22,12:50:24,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,12:50:24
9/26/22,12:50:25,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,12:50:25
9/26/22,13:23:50,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,13:23:50
9/26/22,13:23:50,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,13:23:50
9/26/22,13:31:01,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,13:31:01
9/26/22,13:31:02,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,13:31:02
9/26/22,13:43:26,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,13:43:26
9/26/22,13:55:51,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,13:55:51
9/26/22,14:07:19,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,14:07:19
9/26/22,14:07:19,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,14:07:19
9/26/22,14:13:48,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,14:13:48
9/26/22,14:13:49,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,14:13:49
9/26/22,14:28:31,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,14:28:31
9/26/22,14:28:32,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,14:28:32
9/26/22,14:33:34,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,14:33:34
9/26/22,14:33:35,10,200330,25SQCMICSBB1ADA00B24F,DOC,1,14:33:35
9/26/22,14:33:35,10,200330,25SQCMICSBB1ADA00B24F,DOC,2,14:33:35
